Province,District,Latitude,Longitude, SQ.KM. ,1951,1961,1972,1981,1998,2017
KPK,ABBOTTABAD DISTRICT,34.120703,73.287977,"1,967","318,775","354,452","524,826","647,635","880,666","1,332,912"
Punjab,ATTOCK DISTRICT,33.521494,72.34809,"6,857","486,043","532,845","748,890","876,667","1,274,935","1,883,556"
Balochistan,AWARAN DISTRICT,26.325175,65.466862,"29,510","31,085","31,893","51,918","110,353","118,173","131,042"
Sindh,BADIN DISTRICT,24.711902,68.875974,"6,858","273,398","353,232","640,718","813,335","1,193,081","1,804,516"
Punjab,BAHAWALNAGAR DISTRICT,29.998757,73.250707,"8,878","630,430","822,827","1,073,891","1,373,747","2,061,447","2,981,919"
Punjab,BAHAWALPUR DISTRICT,28.933939,71.746816,"24,830","527,837","735,524","1,071,026","1,453,438","2,433,091","3,742,986"
FATA,BAJAUR AGENCY,34.769917,71.532867,"1,290","320,985","280,200","364,050","289,206","595,227","1,093,684"
KPK,BANNU DISTRICT,32.926048,70.645562,"1,227","185,434","222,173","341,690","422,027","675,667","1,167,892"
Balochistan,BARKHAN DISTRICT,29.96195,69.658219,"3,514","29,002","29,756","44,704","61,686","103,545","171,556"
KPK,BATAGRAM DISTRICT,34.781702,73.091408,"1,301","91,966","94,357","174,009","339,119","307,278","476,612"
Punjab,BHAKKAR DISTRICT,31.624027,71.076097,"8,153","233,733","332,882","500,498","665,884","1,051,456","1,650,518"
Balochistan,BOLAN/KACHHI DISTRICT,29.126198,67.616007,"5,682","91,480","93,858","123,720","200,863","255,480","237,030"
Balochistan,CHAGAI DISTRICT,29.02054,63.067866,"44,748","32,807","21,414","34,034","63,713","104,534","226,008"
Punjab,CHAKWAL DISTRICT,32.896872,72.557009,"6,525","454,942","502,004","692,802","775,600","1,083,725","1,495,982"
KPK,CHARSADDA DISTRICT,34.240602,71.721332,996,"282,618","364,088","513,193","630,811","1,022,364","1,616,198"
KPK,CHINIOT DISTRICT,31.727571,72.978945,"2,643","1,126,079","1,155,356","1,220,403","1,252,620","1,318,923","1,369,740"
KPK,CHITRAL DISTRICT,36.199447,72.072757,"14,850","105,724","113,057","159,000","208,560","318,689","447,362"
Punjab,D.G.KHAN DISTRICT,30.047165,70.6424,"11,922","380,393","472,600","686,057","943,663","1,643,118","2,872,201"
KPK,D.I.KHAN DISTRICT,31.890596,70.707052,"7,326","222,895","271,888","380,229","494,432","852,995","1,627,132"
Sindh,DADU DISTRICT,26.74343,67.519697,"19,070","418,963","487,167","810,987","1,081,611","1,688,811","1,550,266"
Balochistan,DERA BUGTI DISTRICT,28.936183,69.087185,"10,160","31,237","32,049","52,718","103,821","181,310","312,603"
Punjab,FAISALABAD DISTRICT,31.422817,73.103035,"5,857","1,548,689","1,990,297","3,163,756","3,561,909","5,429,547","7,853,526"
Sindh,GHOTKI DISTRICT,27.804552,69.675881,"6,083","179,186","221,243","401,318","558,058","968,490","1,647,239"
Punjab,GUJRANWALA DISTRICT,32.169001,74.065086,"3,622","795,376","1,000,108","1,615,568","2,108,365","3,400,940","5,014,196"
Punjab,GUJRAT DISTRICT,32.74448,73.962549,"3,192","742,892","835,045","1,177,345","1,408,585","2,048,008","2,756,110"
Balochistan,GWADAR DISTRICT,25.405426,63.076268,"12,637","40,630","49,661","90,820","112,385","185,498","263,514"
Punjab,HAFIZABAD DISTRICT,32.023305,73.484206,"2,367","251,557","291,778","444,187","567,572","832,980","1,156,957"
KPK,HANGU DISTRICT,33.436578,70.852852,"1,097","55,167","87,163","125,721","182,474","314,529","518,798"
KPK,HARIPUR DISTRICT,33.964023,72.932803,"1,725","252,168","273,507","417,561","479,031","692,228","1,003,031"
KPK,HARNAI DISTRICT,30.103491,67.936044,,"79,214","81,273","85,849","88,115","92,779","97,017"
Sindh,HYDERABAD DISTRICT,25.349513,68.448016,"5,387","625,848","936,199","1,625,864","2,022,305","2,834,451","2,201,079"
Capital City,ISLAMABAD DISTRICT,33.661639,73.138412,906,"95,940","117,669","237,549","340,286","805,235","2,001,579"
Sindh,JACOBABAD DISTRICT,28.278232,68.446551,"5,278","340,999","422,429","701,703","999,863","1,404,310","1,006,297"
Balochistan,JAFARABAD DISTRICT,28.307185,68.202872,"2,445","99,071","101,647","179,981","265,342","432,817","513,813"
Sindh,JAMSHORO DISTRICT,25.763829,67.817132,,"816,473","837,701","884,864","908,223","956,296","993,142"
Balochistan,JHAL MAGSI DISTRICT,28.393286,67.560403,"3,615","51,687","53,031","75,261","68,092","109,941","149,225"
Punjab,JHANG DISTRICT,31.171644,72.178532,"8,809","863,661","1,065,488","1,554,593","1,970,944","2,834,545","2,744,085"
Punjab,JHELUM DISTRICT,32.81146,73.397565,"3,587","367,824","414,711","591,906","659,012","936,957","1,222,650"
Balochistan,KALAT DISTRICT,28.858682,66.498151,"8,416","297,667","30,821","71,746","209,149","237,834","412,232"
Sindh,KARACHI CITY DISTRICT,25.052966,67.194609,"3,527","1,133,926","2,044,044","3,606,746","5,437,984","9,856,318","16,053,048"
KPK,KARAK DISTRICT,33.146252,71.10392,"3,371","99,908","121,199","191,204","249,681","430,796","706,299"
Sindh,KASHMOR DISTRICT,28.441063,69.585605,,"895,418","918,698","970,421","996,040","1,048,761","1,089,169"
Punjab,KASUR DISTRICT,31.09592,74.441548,"3,995","760,304","853,877","1,186,386","1,528,002","2,375,875","3,454,996"
Balochistan,KECH DISTRICT,25.97378,63.115002,"22,539","83,631","70,326","147,978","379,467","413,204","910,085"
Sindh,KHAIRPUR DISTRICT,27.520084,68.749142,"15,910","347,068","500,258","724,935","981,190","1,546,587","2,405,523"
Punjab,KHANEWAL DISTRICT,30.374783,72.015949,"4,349","635,482","774,701","1,067,993","1,369,766","2,068,490","2,921,986"
Balochistan,KHARAN DISTRICT,28.673965,65.538422,"48,051","49,413","38,845","76,800","128,040","206,909","156,152"
Punjab,KHUSHAB DISTRICT,32.179828,72.103693,"6,511","268,118","360,395","543,314","641,366","905,711","1,281,299"
Balochistan,KHUZDAR DISTRICT,27.523818,66.582324,"35,380","69,409","71,214","146,207","276,449","417,466","802,207"
FATA,KHYBER AGENCY,33.947541,71.063502,"2,576","216,622","301,319","378,032","284,256","546,730","986,973"
Balochistan,KILLA ABDULLAH DISTRICT,30.45314,66.584966,"4,894","62,201","63,818","113,215","170,590","360,724","757,578"
Balochistan,KILLA SAIFULLAH DISTRICT,30.932275,68.359642,"6,831","36,625","37,577","72,086","148,362","193,553","342,814"
KPK,KOHAT DISTRICT,33.435105,71.531998,"2,545","143,955","169,942","264,465","326,617","562,644","993,874"
KPK,KOHISTAN DISTRICT,35.346551,73.208539,"7,492","188,714","193,620","204,521","465,237","472,570","784,711"
Balochistan,KOHLU DISTRICT,29.617545,68.80249,"7,610","27,389","28,101","55,497","71,269","99,846","214,350"
FATA,KURRAM AGENCY,33.748805,70.371077,"3,380","158,420","200,512","279,998","294,362","448,310","619,553"
Punjab,LAHORE CITY DISTRICT,31.491594,74.378384,"1,772","1,134,757","1,625,810","2,587,621","3,544,942","6,318,745","11,126,285"
KPK,LAKKI MARWAT DISTRICT,32.600195,70.82873,"3,164","117,612","153,126","225,529","288,759","490,025","876,182"
Sindh,LARKANA DISTRICT,27.551277,68.21435,"7,423","501,538","604,460","921,457","1,138,580","1,927,066","1,524,391"
Balochistan,LASBELA DISTRICT,25.681621,66.79089,"15,153","68,189","82,997","125,263","188,139","312,695","574,292"
Punjab,LAYYAH DISTRICT,31.006272,71.21531,"6,289","162,202","273,224","495,537","666,517","1,120,951","1,824,230"
Balochistan,LEHRI DISTRICT,29.082355,68.104999,,"97,047","99,570","105,176","107,952","113,666","118,046"
Punjab,LODHRAN DISTRICT,29.693262,71.667343,"2,778","289,052","363,563","558,793","739,912","1,171,800","1,700,620"
Balochistan,LORALAI DISTRICT,30.282774,68.82504,"8,018","86,735","46,065","84,366","204,055","250,147","397,400"
KPK,LOWER DIR DISTRICT,34.857554,71.853939,"1,583","256,035","262,691","277,481","404,844","717,649","1,435,917"
KPK,MALAKAND PROTECTED AREA,34.549657,71.881899,952,"89,699","133,627","185,872","257,797","452,291","720,295"
Punjab,MANDI BAHAUDDIN DISTRICT,32.442495,73.450172,"2,673","414,850","490,967","721,833","846,114","1,160,552","1,593,292"
KPK,MANSEHRA DISTRICT,34.651965,73.394533,"4,579","737,320","697,331","748,422","770,235","1,152,839","1,556,460"
KPK,MARDAN DISTRICT,34.334221,72.112309,"1,632","357,455","481,297","696,622","881,465","1,460,100","2,373,061"
Balochistan,MASTUNG DISTRICT,29.782636,66.827247,"3,308","32,864","33,718","74,690","130,207","160,546","266,461"
Sindh,MATIARI DISTRICT,25.602746,68.454598,,"632,491","648,935","685,470","703,566","740,806","769,349"
Punjab,MIANWALI DISTRICT,32.691672,71.572988,"5,840","315,816","413,851","595,134","711,529","1,056,620","1,546,094"
Sindh,MIRPUR KHAS DISTRICT,25.273041,69.144062,"8,533","355,227","437,898","656,567","960,897","1,569,030","1,505,876"
FATA,MOHMAND AGENCY,34.472524,71.335142,"2,296","129,300","294,215","382,922","163,933","334,453","466,984"
Punjab,MULTAN DISTRICT,29.98834,71.405667,"3,720","725,131","983,815","1,506,223","1,970,075","3,116,851","4,745,109"
Balochistan,MUSAKHEL DISTRICT,30.856935,69.941106,"5,728","23,704","24,320","38,547","91,174","134,056","167,017"
Punjab,MUZAFFARGARH DISTRICT,30.134663,71.046591,"8,249","589,047","716,654","1,069,358","1,497,736","2,635,903","4,325,483"
Punjab,NANKANA SAHIB DISTRICT,31.47209,73.705359,,"1,115,090","1,144,082","1,208,494","1,240,397","1,306,053","1,356,374"
Punjab,NAROWAL DISTRICT,32.210362,75.008945,"2,337","512,475","550,425","834,501","908,977","1,265,097","1,709,757"
Balochistan,NASIRABAD DISTRICT,28.59835,68.06996,"3,387","20,914","21,458","43,893","129,112","245,894","490,538"
Sindh,NAUSHAHRO FEROZE DISTRICT,26.877714,68.122112,"2,946","267,638","369,161","685,829","829,051","1,087,571","1,612,373"
Sindh,SBNA/NAWAB SHAH DISTRICT,26.359744,68.322919,"4,502","228,016","330,730","678,982","838,350","1,102,584","1,600,710"
FATA,NORTH WAZIRISTAN AGENCY,32.938153,70.01554,"4,707","128,235","159,470","250,663","238,910","361,246","549,917"
KPK,NOWSHERA DISTRICT,33.939477,71.976112,"1,748","222,527","276,937","410,718","537,638","874,373","1,518,540"
Balochistan,NUSHKI DISTRICT,29.552683,66.001059,"5,797","19,346","19,849","31,261","56,742","98,030","178,796"
Punjab,OKARA DISTRICT,30.712369,73.705206,"4,377","730,472","827,528","1,123,812","1,487,261","2,232,992","3,040,740"
FATA,ORAKZAI AGENCY,33.722275,71.008324,"1,538","204,304","209,616","283,557","358,751","225,441","254,356"
Punjab,PAKPATTAN DISTRICT,30.300415,73.24598,"2,724","380,678","440,091","615,742","843,623","1,286,680","1,823,687"
Balochistan,PANJGUR DISTRICT,26.685745,64.136684,"16,891","29,560","27,228","56,820","160,750","234,051","316,385"
KPK,PESHAWAR DISTRICT,33.991034,71.596326,"1,257","390,687","529,158","807,012","1,113,303","2,026,851","4,269,079"
Balochistan,PISHIN DISTRICT,30.786523,67.242419,"6,218","59,953","61,512","135,939","208,007","376,728","736,481"
Balochistan,QUETTA DISTRICT,30.202853,66.996738,"3,447","199,735","142,137","252,577","383,403","764,040","2,275,699"
Punjab,RAHIM YAR KHAN DISTRICT,28.495815,70.480029,"11,880","664,234","1,015,715","1,398,879","1,841,451","3,141,053","4,814,006"
Punjab,RAJANPUR DISTRICT,29.179536,70.050028,"12,318","247,136","304,020","456,391","638,921","1,103,618","1,995,958"
Punjab,RAWALPINDI DISTRICT,33.382179,73.267892,"5,285","871,664","1,085,898","1,744,949","2,121,450","3,363,911","5,405,633"
Punjab,SAHIWAL DISTRICT,30.547692,72.874996,"3,201","603,782","743,614","944,656","1,281,526","1,843,194","2,517,560"
Sindh,SANGHAR DISTRICT,25.959179,69.247328,"10,728","311,553","417,440","674,210","893,047","1,421,977","2,057,057"
Punjab,SARGODHA DISTRICT,32.119651,72.702937,"5,856","893,269","1,107,226","1,557,641","1,911,849","2,665,979","3,703,588"
KPK,SHANGLA DISTRICT,34.851806,72.732873,"1,586","107,731","121,528","179,813","251,546","434,563","757,810"
Punjab,SHEIKHUPURA DISTRICT,31.704106,74.13907,"5,960","923,077","1,080,536","1,656,956","2,110,153","3,321,029","3,471,046"
Balochistan,SHERANI DISTRICT,29.744629,68.47895,,"125,878","129,151","136,422","140,024","147,435","153,116"
Sindh,SHIKARPUR DISTRICT,27.954882,68.584266,"2,512","306,007","314,780","530,551","596,409","880,438","1,231,481"
Punjab,SIALKOT DISTRICT,32.405495,74.49941,"3,016","961,721","1,045,958","1,509,424","1,802,505","2,723,481","3,893,672"
Balochistan,SIBI DISTRICT,29.543222,67.934416,"9,613","194,359","74,227","111,046","134,742","212,974","135,572"
Balochistan,SOHBATPUR DISTRICT,28.481099,68.65465,,"164,865","169,151","178,674","183,391","193,098","200,538"
FATA,SOUTH WAZIRISTAN AGENCY,32.384762,69.712301,"6,620","135,784","235,442","307,514","309,454","429,841","674,065"
Punjab,SUJAWAL DISTRICT,24.603341,68.078404,,"642,864","659,578","696,712","715,105","752,956","781,967"
Sindh,SUKKUR DISTRICT,27.495622,69.136234,"5,165","222,848","277,356","460,649","575,962","931,694","1,487,903"
KPK,SWABI DISTRICT,34.129557,72.419764,"1,543","272,279","332,543","507,631","625,035","1,026,804","1,624,616"
KPK,SWAT DISTRICT,35.141271,72.464392,"5,337","283,720","344,859","520,614","715,938","1,257,602","2,309,570"
KPK,TANK DISTRICT,32.247641,70.383749,"1,679","53,076","80,359","93,389","141,062","238,216","391,885"
Sindh,TANDO ALLAHYAR DISTRICT,25.470432,68.725112,,"688,014","705,902","745,645","765,329","805,838","836,887"
Sindh,TANDO MUHAMMAD KHAN DISTRICT,25.124918,68.548551,,"556,757","571,232","603,393","619,322","652,103","677,228"
Sindh,THARPARKAR DISTRICT,24.705547,70.071655,"19,637","249,280","290,402","359,357","540,985","914,291","1,649,661"
Sindh,THATTA DISTRICT,24.522833,67.982183,"17,355","286,253","360,266","676,036","761,039","1,113,194","979,817"
Punjab,TOBA TEK SINGH DISTRICT,30.842403,72.476185,"3,252","615,582","706,800","1,084,442","1,134,572","1,621,593","2,190,015"
FATA,Tribal Area Adjoining Bannu District,32.926048,70.645562,745,"26,913","52,762","50,778","63,213","19,593","43,114"
FATA,Tribal Area Adjoining D.I.Khan District,31.890596,70.707052,"2,008","47,889","30,499","49,822","55,824","38,990","68,556"
FATA,Tribal Area Adjoining Kohat District,33.435105,71.531998,446,"133,607","39,875","44,042","57,245","88,456","118,578"
FATA,Tribal Area Adjoining Lakki Marwat District,32.600195,70.82873,132,"12,091","12,406","13,104","16,149","6,987","26,359"
FATA,Tribal Area Adjoining Peshawar District,33.991034,71.596326,261,"34,250","43,285","60,132","37,061","53,841","64,691"
FATA,Tribal Area Adjoining Tank District,32.247641,70.383749,"1,221","24,559","25,197","26,616","30,183","27,216","36,389"
KPK,TORGHAR DISTRICT,34.590567,72.839791,,"140,906","144,569","152,709","156,740","165,036","171,395"
Sindh,UMER KOT DISTRICT,25.364494,69.736284,,"882,246","905,183","956,145","981,387","1,033,332","1,073,146"
KPK,UPPER DIR DISTRICT,35.330228,72.033504,"3,699","148,648","385,183","251,045","362,565","575,858","946,421"
Punjab,VEHARI DISTRICT,30.016847,72.441853,"4,364","558,536","703,197","1,027,319","1,328,808","2,090,416","2,897,446"
Balochistan,WASHUK DISTRICT,27.72592,64.714926,,"144,679","148,441","156,798","160,937","169,456","175,985"
Balochistan,ZHOB DISTRICT,31.379895,69.067193,"20,297","64,121","50,109","99,903","213,285","275,142","310,544"
Balochistan,ZIARAT DISTRICT,30.412412,67.895042,"3,301","15,451","15,853","37,688","63,179","80,748","157,016"
,,,,,,,,,,
